Código CNO-11: 1111,"MIEMBROS DEL PODER EJECUTIVO (NACIONAL, AUTONÓMICO Y LOCAL) Y DEL PODER LEGISLATIVO",,,,,,,,,
"GPR:
F; G; J; L","SECTOR DE ACTIVIDAD (CNAE):
?  84: Administración Pública y defensa; Seguridad Social obligatoria",,,,,,,,,
"OCUPACIONES INCLUIDAS:
-  Presidentes del Gobierno
-  Ministros del gobierno
-  Diputados al Parlamento
-  Secretarios de Estado
-  Senadores
-  Miembros de los órganos de gobierno de las CC.AA.
-  Miembros de  asambleas legislativas de las CC.AA.
-  Concejales
-  Alcaldes
-  Presidentes de Diputación provincial, Diputación Foral del País Vasco, Cabildo insular o Consejo insular
-  Diputados de Diputación provincial, Diputación Foral del País Vasco, Cabildo insular o Consejo insular
-  Miembros del Consejo General del Poder Judicial",,"OCUPACIONES AFINES NO INCLUIDAS:
- No constan",,,,,,,,
"REFERENCIAS:
Cualificación profesional (CNCP):  no existe
Permisos administrativos: no requiere certificación específica",,,,,,,,,,
"COMPETENCIAS Y TAREAS:
Los miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo definen, formulan y orientan la política del gobierno nacional, regional, provincial o municipal, así como de los organismos gubernamentales  internacionales,  y  elaboran,  ratifican,  modifican  o  derogan  leyes  y  reglamentos.  Se incluyen en ellos miembros electos y no electos de parlamentos, concejos y gobiernos.
Entre sus tareas se incluyen:
-  presidir  los  trabajos  de  los  cuerpos  legislativos  y  de  los  concejos  deliberantes  del  gobierno  y  de  las asambleas legislativas de la nación, región, provincia o municipio, y participar en dichos trabajos;
-  definir, formular y orientar la política del gobierno nacional, regional, provincial o municipal;
-  elaborar,   ratificar,   modificar   o   derogar   leyes   y   reglamentos   dentro   de   un   marco   legislativo   o constitucional;
-  integrar concejos deliberantes de la Administración Pública o comisiones oficiales;
-  examinar  cuestiones  de  interés  para  el  público  y  defender  los  intereses  del  electorado  al  que representan;
-  asistir a actos y reuniones para prestar servicios a la comunidad, captar la opinión pública y facilitar información sobre los planes de la Administración Pública;
-  negociar con otros miembros del poder legislativo y representantes de grupos de interés social para conciliar intereses opuestos y establecer políticas y acuerdos;
-  dirigir,  en  su  calidad  de  miembros  del  gobierno,  a  los  administradores  y  a  los  funcionarios  de  los departamentos ministeriales y de los órganos que de ellos dependen en cuanto a la interpretación y aplicación de la política del gobierno.",,,,,,,,,,
"POSIBLES MENCIONES EN EL CUADRO DE ENFERMEDADES PROFESIONALES:
-  No se contemplan de manera específica",,,,,,,,,,
Código CNO-11: 1111,"MIEMBROS DEL PODER EJECUTIVO (NACIONAL, AUTONÓMICO Y LOCAL) Y DEL PODER LEGISLATIVO",,,,,,,,,
REQUERIMIENTOS,GRADO,,,,,REQUERIMIENTOS,GRADO,,,
,1,2,3,4,,,1,2,3,4
Carga física,X,,,,,Carga mental,,,,
Carga biomecánica,,,,,,Comunicación,,,,X
Columna cervical,X,,,,,Atención al público,,X,,
Columna dorsolumbar,X,,,,,Toma de decisiones,,,,X
Hombro,X,,,,,Atención/complejidad,,,,X
Codo,X,,,,,Apremio,,X,,
Mano,X,,,,,Dependencia,X,,,
Cadera,X,,,,,Visión,,,,
Rodilla,X,,,,,Agudeza visual,,,X,
Tobillo/pie,X,,,,,Campo visual,,X,,
Manejo de cargas,X,,,,,Audición,,X,,
Trabajo de precisión,X,,,,,Voz,,,X,
Sedestación,,,X,,,Sensibilidad,,,,
Bipedestación,,,,,,Superficial,X,,,
Estática,X,,,,,Profunda,X,,,
Dinámica,X,,,,,,,,,
Marcha por terreno irregular,X,,,,,,,,,
POSIBLES RIESGOS Y CIRCUNSTANCIAS ESPECÍFICAS,,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL AMBIENTE LABORAL:
- No constan",,,,,,,,,,
